epoch,train_mse_normalized,validation_mae
1,0.8730104164307162,0.9619238376617432
2,0.6869627347644072,0.8834697604179382
3,0.6549263603198602,0.8558792471885681
4,0.6033364668395949,0.8227167725563049
5,0.5725289646512973,0.9153085350990295
6,0.5554846470400413,0.8641911149024963
7,0.5371384568836378,0.8073028326034546
8,0.543485442896067,0.8018676042556763
9,0.5265775289964972,0.7863000631332397
10,0.5251544948690426,0.7841490507125854
11,0.4979967599329741,0.7749497890472412
12,0.4877932217550574,0.7748318314552307
13,0.4832352578639984,0.8355082273483276
14,0.4947509784135759,0.7417254447937012
15,0.4656261207524294,0.859587550163269
16,0.4651936619918539,0.8023598194122314
17,0.45438320755218126,0.7650194764137268
18,0.457116086660705,0.748086154460907
19,0.4596679633448583,0.7350455522537231
20,0.4412568115299533,0.746569037437439
21,0.44473419189453123,0.763616681098938
22,0.4328741775166174,0.8014519810676575
23,0.43197191105866284,0.7537673711776733
24,0.4235179065177159,0.7330619692802429
25,0.41898757234123185,0.7167254686355591
26,0.4122824762918934,0.7353090047836304
27,0.40374984000780567,0.715099036693573
28,0.4186172250635135,0.7233424186706543
29,0.39606034740898177,0.7212774157524109
30,0.3928459832016726,0.7918238639831543
31,0.3911765537276771,0.7236504554748535
32,0.4026814404111471,0.7378075122833252
33,0.3814357744981043,0.7152830362319946
34,0.3741586014350749,0.7080696821212769
35,0.3755573589609276,0.6941361427307129
36,0.3796139367248701,0.6980510950088501
37,0.3712591879856512,0.7144059538841248
38,0.3599814929577134,0.702929675579071
39,0.3614812157168892,0.7378860116004944
40,0.36049939171868084,0.7043582797050476
41,0.35440224261017317,0.7128487825393677
42,0.3506344494242105,0.6933898329734802
43,0.3508212550271372,0.706470787525177
44,0.34969491743893355,0.7165873646736145
45,0.34135826056047996,0.6880596876144409
46,0.3371220280665048,0.7089934945106506
47,0.33719285489609524,0.6707847118377686
48,0.33914934759554655,0.6832941174507141
49,0.3383842856987663,0.7078261375427246
50,0.32992676529825105,0.6819958686828613
51,0.3264023611264199,0.675843358039856
52,0.32314544856918526,0.7568604946136475
53,0.31563002685582414,0.668735146522522
54,0.3166231234251342,0.6876040101051331
55,0.32017391583193905,0.6787464022636414
56,0.3175030358829854,0.6916021108627319
57,0.3131470889408396,0.6851833462715149
58,0.3042592503269267,0.7240110039710999
59,0.3216091381096692,0.6800177097320557
60,0.3055981079984155,0.7293038368225098
